,char_id,guild,total_timestamps,unique_days,max_level,min_month,max_month,Average_Hour,Average_Playing_density,Playing_after_6_months
51,113,1,1485,141,80,1,12,1.7553191489361701,0.38524590163934425,1
52,114,0,16,6,60,2,11,0.4444444444444444,0.019672131147540985,1
53,118,1,255,23,70,1,4,1.8478260869565217,0.1885245901639344,0
54,122,1,1166,53,70,1,9,3.6666666666666665,0.1930783242258652,1
55,126,1,1,1,60,5,5,0.16666666666666666,0.03278688524590164,0
56,127,0,470,52,70,5,7,1.5064102564102564,0.5683060109289617,0
57,128,1,3,2,70,5,12,0.25,0.00819672131147541,1
58,130,1,137,39,61,1,12,0.5854700854700855,0.10655737704918032,1
59,132,1,4259,268,80,1,12,2.64863184079602,0.73224043715847,1
60,133,1,321,56,72,1,12,0.9553571428571429,0.15300546448087432,1
61,135,1,637,68,70,1,12,1.5612745098039216,0.18579234972677597,1
62,140,1,8303,302,80,1,12,4.5822295805739515,0.825136612021858,1
63,141,1,1221,75,80,1,12,2.7133333333333334,0.20491803278688525,1
64,143,1,46,21,60,1,10,0.36507936507936506,0.06885245901639345,1
65,144,1,1619,122,70,1,9,2.2117486338797816,0.4444444444444444,1
66,147,1,112,20,66,7,11,0.9333333333333333,0.13114754098360656,0
67,148,1,4180,260,70,1,12,2.6794871794871793,0.7103825136612022,1
68,149,1,1681,91,70,1,6,3.078754578754579,0.4972677595628415,1
69,150,1,22,15,60,5,8,0.24444444444444444,0.12295081967213115,0
70,152,1,5669,287,80,1,12,3.2921022067363532,0.7841530054644809,1
71,155,1,4190,203,70,1,11,3.4400656814449917,0.6050670640834576,1
72,158,1,408,18,65,1,2,3.7777777777777777,0.29508196721311475,0
73,159,1,3599,221,80,1,12,2.7141779788838614,0.6038251366120219,1
74,161,0,8,2,60,1,2,0.6666666666666666,0.03278688524590164,0
75,162,1,7250,316,80,1,12,3.8238396624472575,0.8633879781420765,1
76,163,1,3,3,60,1,12,0.16666666666666666,0.00819672131147541,1
77,165,1,512,26,70,3,5,3.282051282051282,0.28415300546448086,0
78,166,1,2884,172,70,1,9,2.794573643410853,0.6265938069216758,1
79,169,1,2274,128,78,1,12,2.9609375,0.34972677595628415,1
80,171,1,1653,64,70,1,7,4.3046875,0.2997658079625293,1
81,172,1,3981,69,80,10,12,9.615942028985508,0.7540983606557377,0
82,173,1,4,2,60,11,12,0.3333333333333333,0.03278688524590164,0
83,174,1,536,58,70,1,12,1.5402298850574712,0.15846994535519127,1
84,176,1,2045,98,70,1,12,3.477891156462585,0.2677595628415301,1
85,177,1,1646,97,78,9,12,2.8281786941580758,0.7950819672131147,0
86,178,1,3565,141,73,1,11,4.213947990543735,0.4202682563338301,1
87,180,1,738,90,70,1,12,1.3666666666666667,0.2459016393442623,1
88,182,0,42801,352,1,1,12,20.265625,0.9617486338797814,1
89,185,1,41,11,70,1,8,0.6212121212121212,0.045081967213114756,1
90,189,0,1,1,12,11,11,0.16666666666666666,0.03278688524590164,0
91,191,1,622,63,70,1,9,1.6455026455026456,0.22950819672131148,1
92,193,1,2,1,40,1,1,0.3333333333333333,0.03278688524590164,0
93,194,0,1,1,30,3,3,0.16666666666666666,0.03278688524590164,0
94,195,1,2076,94,70,1,7,3.6808510638297873,0.44028103044496486,1
95,196,1,73,7,34,3,12,1.7380952380952381,0.022950819672131147,1
96,197,1,191,10,70,1,1,3.183333333333333,0.32786885245901637,0
97,201,1,862,92,64,1,12,1.5615942028985508,0.25136612021857924,1
98,203,1,2053,179,71,1,12,1.9115456238361266,0.4890710382513661,1
99,212,1,2088,157,70,1,11,2.21656050955414,0.46795827123695977,1
100,215,1,1543,76,80,1,12,3.383771929824561,0.20765027322404372,1
101,216,1,2,2,60,7,12,0.16666666666666666,0.01092896174863388,1
102,218,1,5,5,60,9,11,0.16666666666666666,0.0546448087431694,0
103,219,0,9,9,60,7,12,0.16666666666666666,0.04918032786885246,1
104,221,1,859,81,70,1,12,1.7674897119341564,0.22131147540983606,1
105,223,1,1,1,64,10,10,0.16666666666666666,0.03278688524590164,0
106,228,0,6,2,60,2,10,0.5,0.007285974499089253,1
107,229,1,36,6,70,5,10,1.0,0.03278688524590164,1
108,230,1,2677,125,70,1,7,3.5693333333333332,0.585480093676815,1
109,231,1,1172,91,70,1,7,2.1465201465201464,0.4262295081967213,1
110,236,1,3701,142,70,1,9,4.343896713615023,0.517304189435337,1
111,237,1,1088,111,70,1,9,1.6336336336336337,0.40437158469945356,1
112,239,0,16,7,60,2,11,0.38095238095238093,0.022950819672131147,1
113,241,1,91,7,70,1,1,2.1666666666666665,0.22950819672131148,0
114,244,1,17,2,60,1,1,1.4166666666666667,0.06557377049180328,0
115,246,1,2814,157,76,1,12,2.9872611464968153,0.42896174863387976,1
116,261,1,1767,170,71,1,12,1.7323529411764707,0.4644808743169399,1
117,262,1,2,1,27,6,6,0.3333333333333333,0.03278688524590164,0
118,271,1,4499,250,71,1,12,2.9993333333333334,0.6830601092896175,1
119,273,0,2,1,62,12,12,0.3333333333333333,0.03278688524590164,0
120,278,1,5914,166,80,5,12,5.937751004016064,0.680327868852459,1
121,281,1,7,4,37,4,10,0.2916666666666667,0.01873536299765808,1
122,286,1,2249,91,77,1,12,4.119047619047619,0.24863387978142076,1
123,289,1,2284,113,71,2,12,3.368731563421829,0.33681073025335323,1
124,291,1,2377,126,70,1,12,3.144179894179894,0.3442622950819672,1
125,292,1,170,28,70,1,11,1.0119047619047619,0.08345752608047691,1
126,293,1,9,6,51,1,12,0.25,0.01639344262295082,1
127,294,1,132,15,66,1,12,1.4666666666666666,0.040983606557377046,1
128,296,0,212,17,69,1,1,2.0784313725490198,0.5573770491803278,0
129,297,1,508,65,72,1,12,1.3025641025641026,0.17759562841530055,1
130,300,1,327,114,70,1,12,0.4780701754385965,0.3114754098360656,1
131,301,1,897,64,74,1,12,2.3359375,0.17486338797814208,1
132,303,1,2321,193,70,1,12,2.0043177892918824,0.5273224043715847,1
133,308,1,2467,205,77,1,12,2.0056910569105693,0.5601092896174863,1
134,311,1,1150,44,80,11,12,4.356060606060606,0.7213114754098361,0
135,312,0,1,1,60,10,10,0.16666666666666666,0.03278688524590164,0
136,316,1,1,1,62,4,4,0.16666666666666666,0.03278688524590164,0
137,320,1,2223,167,76,1,12,2.218562874251497,0.4562841530054645,1
138,322,1,4802,236,80,1,12,3.3912429378531073,0.644808743169399,1
139,323,1,1847,135,74,1,12,2.280246913580247,0.36885245901639346,1
140,325,1,5,1,60,3,3,0.8333333333333334,0.03278688524590164,0
141,326,1,951,87,77,1,12,1.8218390804597702,0.23770491803278687,1
142,328,1,232,46,52,2,12,0.8405797101449275,0.13710879284649777,1
143,329,1,364,44,80,3,12,1.378787878787879,0.14426229508196722,1
144,331,0,2425,193,80,1,12,2.0941278065630398,0.5273224043715847,1
145,337,0,1,1,60,2,2,0.16666666666666666,0.03278688524590164,0
146,341,1,2527,204,80,1,12,2.064542483660131,0.5573770491803278,1
147,342,1,1122,72,80,1,12,2.5972222222222223,0.19672131147540983,1
148,343,1,359,58,70,1,12,1.0316091954022988,0.15846994535519127,1
149,344,1,110,15,70,1,12,1.2222222222222223,0.040983606557377046,1
150,345,1,4239,197,70,1,12,3.5862944162436547,0.5382513661202186,1
151,347,1,3392,199,70,1,11,2.8408710217755444,0.5931445603576752,1
152,348,1,68,19,68,1,11,0.5964912280701754,0.05663189269746647,1
153,351,1,39,30,1,4,12,0.21666666666666667,0.1092896174863388,1
154,352,1,1289,169,70,1,12,1.2712031558185404,0.46174863387978143,1
155,354,1,1356,188,74,1,12,1.202127659574468,0.5136612021857924,1
156,359,1,200,48,70,1,11,0.6944444444444444,0.14307004470938897,1
157,360,1,72,21,70,1,11,0.5714285714285714,0.06259314456035768,1
158,362,1,572,25,70,1,1,3.8133333333333335,0.819672131147541,0
159,363,1,613,115,70,1,12,0.8884057971014493,0.31420765027322406,1
160,365,1,1,1,60,8,8,0.16666666666666666,0.03278688524590164,0
161,369,1,1778,91,70,2,12,3.2564102564102564,0.27123695976154993,1
162,371,1,40,8,70,1,7,0.8333333333333334,0.03747072599531616,1
163,372,1,329,21,78,1,12,2.611111111111111,0.05737704918032787,1
164,376,1,32,6,60,1,8,0.8888888888888888,0.02459016393442623,1
165,378,1,622,76,70,1,12,1.3640350877192982,0.20765027322404372,1
166,379,1,1476,106,70,1,12,2.3207547169811322,0.2896174863387978,1
167,383,1,2612,98,70,1,12,4.442176870748299,0.2677595628415301,1
168,384,1,141,26,70,1,4,0.9038461538461539,0.21311475409836064,0
169,388,1,7315,271,70,1,11,4.498769987699877,0.8077496274217586,1
170,389,1,1544,78,70,1,10,3.299145299145299,0.25573770491803277,1
171,391,1,1817,180,72,1,12,1.6824074074074074,0.4918032786885246,1
172,392,1,163,12,64,1,2,2.263888888888889,0.19672131147540983,0
173,393,1,2169,146,80,1,12,2.4760273972602738,0.3989071038251366,1
174,394,1,5685,154,70,1,6,6.152597402597403,0.8415300546448088,1
175,395,1,28,6,60,5,10,0.7777777777777778,0.03278688524590164,1
176,396,0,6,2,60,10,10,0.5,0.06557377049180328,0
177,397,1,2329,158,70,1,10,2.4567510548523206,0.5180327868852459,1
178,398,1,4826,149,70,1,12,5.39821029082774,0.40710382513661203,1
179,399,1,2331,97,80,3,12,4.005154639175258,0.3180327868852459,1
180,401,1,255,69,70,1,12,0.6159420289855072,0.1885245901639344,1
181,404,0,1,1,70,8,8,0.16666666666666666,0.03278688524590164,0
182,405,1,2670,130,80,1,12,3.423076923076923,0.3551912568306011,1
183,406,1,3,2,60,2,4,0.25,0.02185792349726776,0
184,410,1,1887,133,70,1,9,2.3646616541353382,0.48451730418943534,1
185,413,1,570,13,70,1,2,7.3076923076923075,0.21311475409836064,0
186,414,1,2289,175,70,1,12,2.18,0.4781420765027322,1
187,417,1,2765,119,70,1,10,3.872549019607843,0.3901639344262295,1
188,419,1,797,53,75,6,12,2.506289308176101,0.24824355971896955,1
189,420,1,6210,240,80,1,12,4.3125,0.6557377049180327,1
190,423,1,1407,74,78,1,12,3.168918918918919,0.20218579234972678,1
191,424,0,127,16,70,1,10,1.3229166666666667,0.05245901639344262,1
192,426,1,3573,281,77,1,12,2.119217081850534,0.76775956284153,1
193,427,1,4316,247,80,1,12,2.912280701754386,0.674863387978142,1
194,428,1,1227,113,71,1,12,1.8097345132743363,0.3087431693989071,1
195,429,1,2213,102,74,6,12,3.616013071895425,0.477751756440281,1
196,437,1,1982,162,80,1,12,2.039094650205761,0.4426229508196721,1
197,441,1,6,6,60,1,12,0.16666666666666666,0.01639344262295082,1
198,443,1,3862,258,80,1,12,2.494832041343669,0.7049180327868853,1
199,449,1,1360,110,80,2,12,2.0606060606060606,0.32786885245901637,1
200,455,1,6,4,60,1,3,0.25,0.04371584699453552,0
201,456,1,2208,160,80,1,12,2.3,0.4371584699453552,1
202,460,1,1976,141,70,1,12,2.3356973995271866,0.38524590163934425,1
203,461,0,4,1,22,10,10,0.6666666666666666,0.03278688524590164,0
204,462,1,81,16,70,1,7,0.84375,0.07494145199063232,1
205,463,1,1,1,70,3,3,0.16666666666666666,0.03278688524590164,0
206,464,1,201,13,70,1,5,2.576923076923077,0.08524590163934426,0
207,465,1,2,1,59,1,1,0.3333333333333333,0.03278688524590164,0
208,467,1,48,19,1,1,5,0.42105263157894735,0.12459016393442623,0
209,476,1,3092,215,80,1,12,2.3968992248062015,0.587431693989071,1
210,477,0,1,1,60,11,11,0.16666666666666666,0.03278688524590164,0
211,480,1,348,27,70,4,5,2.1481481481481484,0.4426229508196721,0
212,489,1,870,107,73,1,12,1.355140186915888,0.2923497267759563,1
213,490,1,8,7,48,5,9,0.19047619047619047,0.04590163934426229,0
214,491,1,1,1,60,11,11,0.16666666666666666,0.03278688524590164,0
215,492,1,4945,288,80,1,12,2.861689814814815,0.7868852459016393,1
216,495,1,2,2,1,12,12,0.16666666666666666,0.06557377049180328,0
217,497,1,28,5,70,1,4,0.9333333333333333,0.040983606557377046,0
218,499,1,1194,102,70,1,12,1.9509803921568627,0.2786885245901639,1
219,501,1,62,9,65,1,11,1.1481481481481481,0.026825633383010434,1
220,502,1,2992,159,71,1,12,3.1362683438155137,0.4344262295081967,1
221,505,1,25,4,70,2,12,1.0416666666666667,0.011922503725782414,1
222,507,1,3080,253,80,1,12,2.028985507246377,0.6912568306010929,1
223,508,1,5820,329,80,1,12,2.9483282674772036,0.8989071038251366,1
224,513,1,3902,206,75,1,12,3.156957928802589,0.5628415300546448,1
225,514,1,21,12,3,10,12,0.2916666666666667,0.13114754098360656,0
226,516,1,15,10,29,1,12,0.25,0.0273224043715847,1
227,518,1,1173,98,70,1,8,1.9948979591836735,0.4016393442622951,1
228,519,1,2174,187,72,1,12,1.9376114081996434,0.5109289617486339,1
229,522,0,3,2,60,1,8,0.25,0.00819672131147541,1
230,524,1,289,23,78,11,12,2.0942028985507246,0.3770491803278688,0
231,525,0,78,11,60,2,6,1.1818181818181819,0.07213114754098361,0
232,527,0,6,4,60,7,12,0.25,0.02185792349726776,1
233,528,0,2,2,7,1,1,0.16666666666666666,0.06557377049180328,0
234,531,1,2384,163,71,1,12,2.4376278118609407,0.4453551912568306,1
235,532,1,680,29,65,3,4,3.9080459770114944,0.47540983606557374,0
236,535,1,2175,159,70,1,12,2.279874213836478,0.4344262295081967,1
237,536,0,20,6,60,1,11,0.5555555555555556,0.01788375558867362,1
238,538,0,4,2,60,9,9,0.3333333333333333,0.06557377049180328,0
239,539,0,3,1,60,9,9,0.5,0.03278688524590164,0
240,540,1,4156,231,72,1,12,2.9985569985569986,0.6311475409836066,1
241,542,1,8,5,62,8,9,0.26666666666666666,0.08196721311475409,0
242,545,0,4,4,12,3,12,0.16666666666666666,0.013114754098360656,1
243,546,1,162,49,70,1,12,0.5510204081632653,0.13387978142076504,1
244,553,1,2485,138,80,1,12,3.001207729468599,0.3770491803278688,1
245,554,1,558,97,74,5,12,0.9587628865979382,0.3975409836065574,1
246,555,1,220,115,63,1,10,0.3188405797101449,0.3770491803278688,1
247,556,1,1762,118,70,1,8,2.4887005649717513,0.48360655737704916,1
248,557,1,2791,196,80,1,12,2.373299319727891,0.5355191256830601,1
249,560,0,8,2,60,3,11,0.6666666666666666,0.007285974499089253,1
250,565,1,2668,171,74,1,12,2.6003898635477585,0.4672131147540984,1
251,566,1,1730,112,70,1,9,2.574404761904762,0.4080145719489982,1
252,567,1,4632,315,80,1,12,2.450793650793651,0.860655737704918,1
253,568,1,2,2,10,2,2,0.16666666666666666,0.06557377049180328,0
254,570,1,102,25,63,1,12,0.68,0.06830601092896176,1
255,575,1,33,9,42,1,4,0.6111111111111112,0.07377049180327869,0
256,579,1,4,2,62,7,10,0.3333333333333333,0.01639344262295082,0
257,582,1,2275,187,71,1,12,2.0276292335115866,0.5109289617486339,1
258,586,1,1565,164,71,1,12,1.5904471544715446,0.44808743169398907,1
259,587,1,10,5,60,11,12,0.3333333333333333,0.08196721311475409,0
260,589,1,11,10,3,3,10,0.18333333333333332,0.040983606557377046,1
261,590,1,2881,142,70,1,7,3.381455399061033,0.6651053864168618,1
262,593,1,3233,227,80,1,12,2.3737151248164463,0.6202185792349727,1
263,595,0,1,1,60,1,1,0.16666666666666666,0.03278688524590164,0
264,598,1,1,1,47,10,10,0.16666666666666666,0.03278688524590164,0
265,601,1,2774,290,80,1,12,1.5942528735632184,0.7923497267759563,1
266,604,1,20,2,60,2,3,1.6666666666666667,0.03278688524590164,0
267,607,0,16,9,70,1,11,0.2962962962962963,0.026825633383010434,1
268,612,1,1367,142,70,1,12,1.6044600938967135,0.3879781420765027,1
269,613,0,50,40,1,1,12,0.20833333333333334,0.1092896174863388,1
270,614,1,339,34,56,1,12,1.661764705882353,0.09289617486338798,1
271,616,1,1630,131,80,1,12,2.073791348600509,0.35792349726775957,1
272,618,0,186,62,63,1,11,0.5,0.18479880774962743,1
273,620,1,1,1,30,6,6,0.16666666666666666,0.03278688524590164,0
274,623,1,2,1,61,6,6,0.3333333333333333,0.03278688524590164,0
275,624,1,1,1,60,8,8,0.16666666666666666,0.03278688524590164,0
276,626,0,11,3,60,1,1,0.6111111111111112,0.09836065573770492,0
277,631,1,33,3,8,4,4,1.8333333333333333,0.09836065573770492,0
278,636,1,4075,148,70,1,10,4.588963963963964,0.4852459016393443,1
279,638,1,336,33,70,1,7,1.696969696969697,0.15456674473067916,1
280,640,1,1534,172,70,1,12,1.4864341085271318,0.46994535519125685,1
281,643,0,2,1,26,8,8,0.3333333333333333,0.03278688524590164,0
282,644,1,44,11,64,1,11,0.6666666666666666,0.03278688524590164,1
283,645,1,1041,114,70,1,12,1.5219298245614035,0.3114754098360656,1
284,646,0,6,3,5,2,2,0.3333333333333333,0.09836065573770492,0
285,650,1,1797,135,80,1,12,2.2185185185185183,0.36885245901639346,1
286,657,0,2,2,60,2,2,0.16666666666666666,0.06557377049180328,0
287,659,1,650,59,70,1,10,1.8361581920903955,0.19344262295081968,1
288,660,1,621,47,80,1,12,2.202127659574468,0.1284153005464481,1
289,661,1,1,1,58,1,1,0.16666666666666666,0.03278688524590164,0
290,663,1,2407,212,80,1,12,1.8922955974842768,0.5792349726775956,1
291,665,1,1908,126,80,1,12,2.5238095238095237,0.3442622950819672,1
292,667,1,1006,149,70,1,12,1.1252796420581654,0.40710382513661203,1
293,668,0,2,2,1,2,2,0.16666666666666666,0.06557377049180328,0
294,669,0,34,23,22,1,12,0.2463768115942029,0.06284153005464481,1
295,672,0,6,1,32,4,4,1.0,0.03278688524590164,0
296,673,1,290,76,70,1,12,0.6359649122807017,0.20765027322404372,1
297,676,1,14,8,66,1,6,0.2916666666666667,0.04371584699453552,1
298,680,1,1,1,60,9,9,0.16666666666666666,0.03278688524590164,0
299,681,1,699,81,70,1,10,1.4382716049382716,0.26557377049180325,1
300,685,1,1565,100,80,1,12,2.6083333333333334,0.273224043715847,1
301,691,1,1146,67,70,1,4,2.8507462686567164,0.5491803278688525,0
302,694,1,2101,101,70,1,5,3.466996699669967,0.6622950819672131,0
303,695,1,1939,228,80,1,12,1.4173976608187135,0.6229508196721312,1
304,696,0,2,2,60,1,9,0.16666666666666666,0.007285974499089253,1
305,697,1,2757,158,76,1,12,2.9082278481012658,0.43169398907103823,1
306,701,1,3057,175,70,1,10,2.9114285714285715,0.5737704918032787,1
307,704,1,1,1,60,10,10,0.16666666666666666,0.03278688524590164,0
308,710,1,803,105,71,1,12,1.2746031746031745,0.28688524590163933,1
309,712,1,523,39,71,1,11,2.235042735042735,0.11624441132637854,1
310,714,1,230,41,71,1,12,0.9349593495934959,0.11202185792349727,1
311,716,0,13,1,7,12,12,2.1666666666666665,0.03278688524590164,0
312,722,1,5593,249,80,1,12,3.7436412315930387,0.680327868852459,1
313,730,1,6,1,60,9,9,1.0,0.03278688524590164,0
314,732,1,1,1,25,12,12,0.16666666666666666,0.03278688524590164,0
315,735,0,4,2,34,3,3,0.3333333333333333,0.06557377049180328,0
316,742,1,649,67,70,1,5,1.6144278606965174,0.43934426229508194,0
317,744,1,2,2,60,12,12,0.16666666666666666,0.06557377049180328,0
318,748,1,698,69,70,1,11,1.6859903381642511,0.20566318926974664,1
319,750,0,308,46,70,5,8,1.1159420289855073,0.3770491803278688,0
320,752,1,2225,104,71,1,12,3.565705128205128,0.28415300546448086,1
321,753,1,3190,195,80,1,12,2.7264957264957266,0.5327868852459017,1
322,754,1,1025,75,70,1,9,2.2777777777777777,0.273224043715847,1
323,758,1,2,2,60,8,8,0.16666666666666666,0.06557377049180328,0
324,759,1,3633,230,80,1,12,2.632608695652174,0.6284153005464481,1
325,762,1,15,11,32,2,12,0.22727272727272727,0.03278688524590164,1
326,764,1,1722,192,73,1,12,1.4947916666666667,0.5245901639344263,1
327,765,1,595,189,2,1,12,0.5246913580246914,0.5163934426229508,1
328,767,1,895,56,70,7,11,2.6636904761904763,0.36721311475409835,0
329,768,0,1,1,1,2,2,0.16666666666666666,0.03278688524590164,0
330,769,0,95,26,66,1,12,0.6089743589743589,0.07103825136612021,1
331,770,1,3406,134,74,1,12,4.236318407960199,0.366120218579235,1
332,772,1,2152,120,70,1,9,2.988888888888889,0.4371584699453552,1
333,775,0,1059,73,70,1,9,2.4178082191780823,0.2659380692167577,1
334,776,0,61,3,70,7,8,3.388888888888889,0.04918032786885246,0
335,777,1,1705,73,80,9,12,3.8926940639269407,0.5983606557377049,0
336,781,0,501,71,70,1,7,1.176056338028169,0.3325526932084309,1
337,782,1,6173,315,80,1,12,3.2661375661375662,0.860655737704918,1
338,784,1,831,48,70,1,6,2.8854166666666665,0.26229508196721313,1
339,787,1,23,4,18,1,8,0.9583333333333334,0.01639344262295082,1
340,789,0,56,3,11,3,4,3.111111111111111,0.04918032786885246,0
341,793,1,388,61,78,1,12,1.0601092896174864,0.16666666666666666,1
342,795,1,1,1,60,4,4,0.16666666666666666,0.03278688524590164,0
343,798,1,1038,38,61,3,12,4.552631578947368,0.12459016393442623,1
344,800,1,1341,91,72,1,12,2.456043956043956,0.24863387978142076,1
345,802,1,216,49,63,8,12,0.7346938775510204,0.32131147540983607,0
346,804,1,2214,62,70,2,12,5.951612903225806,0.18479880774962743,1
347,805,1,96,16,63,11,12,1.0,0.26229508196721313,0
348,806,1,4034,227,70,1,12,2.9618208516886932,0.6202185792349727,1
349,807,1,7,4,28,3,10,0.2916666666666667,0.01639344262295082,1
350,811,1,10,5,70,2,12,0.3333333333333333,0.014903129657228018,1
351,812,1,67,10,62,1,10,1.1166666666666667,0.03278688524590164,1
352,816,1,31,10,61,1,6,0.5166666666666667,0.0546448087431694,1
353,819,1,838,92,70,1,11,1.5181159420289856,0.27421758569299554,1
354,820,1,7865,301,80,1,12,4.3549280177187155,0.8224043715846995,1
355,826,1,35,6,70,2,10,0.9722222222222222,0.02185792349726776,1
356,830,1,11,2,27,3,3,0.9166666666666666,0.06557377049180328,0
357,832,0,107,80,26,1,11,0.22291666666666668,0.23845007451564829,1
358,837,0,3,1,43,12,12,0.5,0.03278688524590164,0
359,842,1,349,44,70,2,12,1.321969696969697,0.13114754098360656,1
360,843,1,549,33,70,1,9,2.772727272727273,0.12021857923497267,1
361,844,0,1,1,43,11,11,0.16666666666666666,0.03278688524590164,0
362,846,1,1,1,66,1,1,0.16666666666666666,0.03278688524590164,0
363,850,1,82,19,24,7,12,0.7192982456140351,0.10382513661202186,1
364,852,1,492,40,80,9,12,2.05,0.32786885245901637,0
365,855,1,870,41,56,5,8,3.5365853658536586,0.3360655737704918,0
366,857,1,2,1,60,11,11,0.3333333333333333,0.03278688524590164,0
367,862,1,805,72,70,1,11,1.8634259259259258,0.21460506706408347,1
368,863,1,2569,76,80,10,12,5.633771929824562,0.8306010928961749,0
369,865,0,94,17,62,6,7,0.9215686274509803,0.2786885245901639,0
370,866,0,2,1,2,10,10,0.3333333333333333,0.03278688524590164,0
371,867,1,905,59,80,9,12,2.556497175141243,0.48360655737704916,0
372,868,1,1375,103,70,1,7,2.2249190938511325,0.48243559718969553,1
373,869,1,697,29,54,5,8,4.005747126436781,0.23770491803278687,0
374,870,1,2064,94,70,1,12,3.6595744680851063,0.2568306010928962,1
375,872,0,2,2,70,2,2,0.16666666666666666,0.06557377049180328,0
376,875,1,1087,46,80,11,12,3.9384057971014492,0.7540983606557377,0
377,876,1,12,9,62,1,10,0.2222222222222222,0.029508196721311476,1
378,878,1,12,6,33,12,12,0.3333333333333333,0.19672131147540983,0
379,881,1,2961,160,70,1,12,3.084375,0.4371584699453552,1
380,885,1,22,1,60,1,1,3.6666666666666665,0.03278688524590164,0
381,886,1,3,2,60,3,3,0.25,0.06557377049180328,0
382,887,1,9,7,1,1,5,0.21428571428571427,0.04590163934426229,0
383,889,1,1417,40,70,6,8,5.904166666666667,0.4371584699453552,0
384,890,1,4599,117,70,1,11,6.551282051282051,0.34873323397913564,1
385,892,1,213,35,70,1,3,1.0142857142857142,0.3825136612021858,0
386,895,1,53,9,1,1,10,0.9814814814814815,0.029508196721311476,1
387,904,0,17,7,35,12,12,0.40476190476190477,0.22950819672131148,0
